split,RMSE,MAE,R2
train,0.00314146005759421,0.0019989543139140417,0.9911122433606081
val,0.010185050293271306,0.006330527946508948,0.8789831981903933
test,0.008808947323285618,0.004846495915074571,0.8964669235606708
